algoritmo,mensaje,trama_binaria,trama_ruido,error_inyectado,bit_error,respuesta_receptor,validez,tiempo_ms,probabilidad_error
fletcher,ZOG,0101101001001111010001110000000010100001010011111111101110011110,0101101001001111010001110000000010100001010011111111101110011110,0,-1,error_detectado,0,1.1,0.041
fletcher,MZUUQIP,010011010101101001010101010101010101000101001001010100000000000001000011111110010010011111111100,010011010101101001010101010101010101000101001001010100000000000001000011111110010010011111111100,0,-1,error_detectado,0,0.42,0.081
fletcher,NFSBOP,01001110010001100101001101000010010011110101000011110000110110001110000010100111,01001110010001100101001101000010010011110101000011110000110110001110000010100111,0,-1,error_detectado,0,0.52,0.07
fletcher,TCKDLRWY,010101000100001101001011010001000100110001010010010101110101100101000011001100110010001011011000,010101000100001101001011010001000100110001010010010101110101100101000011001100110010001011011000,0,-1,error_detectado,0,0.5,0.175
fletcher,OBSGCO,01001111010000100101001101000111010000110100111111100101110110001101011110100100,01001111010000100101001101000111010000110100111111100101110110001101011110100100,0,-1,error_detectado,0,0.41,0.027
fletcher,MBJCUN,01001101010000100100101001000011010101010100111011101100110100111101000110011011,01001101010000100100101001000011010101010100111011101100110100111101000110011011,0,-1,error_detectado,0,0.5,0.015
fletcher,SVLVQTNO,010100110101011001001100010101100101000101010100010011100100111100111111010100000010001101010100,010100110101011001001100010101100101000101010100010011100100111100111111010100000010001101010100,0,-1,error_detectado,0,0.46,0.086
fletcher,DZGY,0100010001011010010001110101100110001011101100111101000000001101,0100010001011010010001110101100110001011101100111101000000001101,0,-1,error_detectado,0,0.52,0.02
fletcher,AFJKNMCNV,0100000101000110010010100100101101001110010011010100001101001110010101100000000001110011001011010011011100010001,0100000101000110010010100100101101001110010011010100001101001110010101100000000001110011001011010011011100010001,0,-1,error_detectado,0,0.46,0.162
fletcher,GHCSXUQFB,0100011101001000010000110101001101011000010101010101000101000110010000100000000001110110001101110101111101000011,0100011101001000010000110101001101011000010101010101000101000110010000100000000001110110001101110101111101000011,0,-1,error_detectado,0,0.66,0.117
fletcher,GAD,0100011101000001010001000000000010001011010000011101001010000010,0100011101000001010001000000000010001011010000011101001010000010,0,-1,error_detectado,0,0.55,0.072
fletcher,TDDUYSKBM,0101010001000100010001000101010101011001010100110100101101000010010011010000000010001010001011111010011000101001,0101010001000100010001000101010101011001010100110100101101000010010011010000000010001010001011111010011000101001,0,-1,error_detectado,0,0.44,0.144
fletcher,ARYQEFJQ,010000010101001001011001010100010100010101000110010010100101000100101010001110111110011000011010,010000010101001011011001010100010100010101000110010010100101000100101010001110111110011000011010,1,16,error_detectado,0,0.68,0.182
fletcher,QAQDDZOC,010100010100000101010001010001000100010001011010010011110100001100110110001000110001000011001010,010100010100000101010001010001000100010001011010010011110100001100110110001000110001000011001010,0,-1,error_detectado,0,0.44,0.049
fletcher,QMMUIF,01010001010011010100110101010101010010010100011011100111111010001101011111011000,01010001010011010100110101010101010010010100011011100111111010001101011111011000,0,-1,error_detectado,0,0.54,0.095
fletcher,DNE,0100010001001110010001010000000010001001010011101100110110011100,0100010001001110010001010000000010001001010011101100110010011100,1,55,error_detectado,0,0.89,0.173
